#indo
*Indo-European
+Proto-Indo- European	*oynos / *sem	*duwō	*treyes	*kwetwores	*penkwe	*sweks	*septṃ	*oktō	*newṇ 	*dekṃ
…Alsatian	eins	zwei	drëi	vier	fenf	sex	seve	acht	nin	zehn
…Cimbrian	òan	zbeen	drai	viar	vüf	sèks	siban	acht	naün	zègan
…Rimella	ais	zwai	drei	viére	venve	žakše	šìbne	achtwe	nine	zìne
…Rheinfränkisch	ääns	zwei	drej	vir	fennef	sechs	siwe	acht	nin	zeen
…Pennsylvania	eens	zwee	drei	vier	fimf	sex	siwwe	acht	nein(e)	zeh
Luxembourgeois	eent	zwee	dräi	véier	fënnef	sechs	siwen	aacht	néng	zéng
Swiss German	eis	zwei	drüü	vier	foif	sächs	siebë	acht	nüün	zäh
Yiddish	eyns	tsvey	dray	fir	finef	zeks	zibn	akht	nayn	tsen
*3Northern
+Runic	æinn	tvæiR	þrīR	fiūriR	fǣm	sæx	siū	ātta	nīu	tīu
+Old Norse	einn	tveir	thrír	fjórir	fimm	sex	sjau	átta	níu	tíu
!Norwegian	en (Ny. ein)	to	tre	fire	fem	seks	sju	åtte	ni	ti
!Danish	én	to	tre	fire	fem	seks	syv	otte	ni	ti
+Old Swedish	ēn	twē(r)	þrī(r)	fiūri(r)	fǣm	sæx	siū	ātta	nīo	tīo
!Swedish	en	två	tre	fyra	fem	sex	sju	åtta	nio	tio
…Dalecarlian	ienn	twer	trair	fiuärer	fem	sjäks	sju	åtta	niu	tiu
Faroese	ein	tveir	tríggir	fÿra	fimm	seks	sjey	átta	níggju	tíggju
+Old Icelandic	einn	tueir	þrír	fiórer	fimm	sex	siau	átta	nío	tío
Icelandic	einn	tveir	þrír	fjórir	fimm	sex	sjö	átta	níu	tíu
*3Eastern
+Gothic	ains	twai	þreis	fidwor	fimf	saíhs	sibun	ahtau	niun	taíhun
+Crimean	ene	tua	tria	fyder	fyuf	seis	sevene	athe	nyne	thiine

**Italic
+Oscan	uinus	dus	tris	petora	pompe-	*sehs	*seften	*uhto	*nuven	*deken
+Umbrian	uns	tuf	trif	petur-	pumpe-	sehs-			*nuvim	*desem
+Faliscan		du	tris		*cuicue	zex	*zepten	octu	*neuen
+Latin	ūnus	duo	trēs	quattuor	quinque	sex	septem	octō	novem	decem
*3Romance
+Mozarabic	uno	dox	trex	quatro	chinco	xaix	xebte	oito	(nove)	diex
!Portuguese	um	dois	três	quatro	cinco	seis	sete	oito	nove	dez
…Galician	un	dous	tres	catro	cinco	seis	sete	oito	nove	dez
!Spanish	uno	dos	tres	cuatro	cinco	seis	siete	ocho	nueve	diez
…Ladino	unu	do	tre	cuatru	sincu	sex	sieti	ochu	muevi	dies
…Asturian	uno	dos	tres	cuatru	cincu	seis	siete	ochu	nueve	diez
…Aragonese	un	dos	tres	cuatro	zinco	seis	siet	güeito	nueu	diez
!Catalan	un	dos	tres	quatre	cinc	sis	set	vuit	nou	deu
…Valencian	u	dos	tres	quatre	cinc	sis	set	huit	nou	deu
+Old French	un	deus	treis	quatre	cinc	sis	set	oit	nous	dis
!French	un	deux	trois	quatre	cinq	six	sept	huit	neuf	dix
…Walloon	onk	deus	troes	cwate	cénk	shijh	set	ût	noûf	dijh
…Jèrriais	ieune	deux	trais	quat’	chînq	six	sept	huit	neuf	dgix
…Poitevin	in	deùs	tràes	quatre	cénc	sis	sét	uit	neùv	dis
+Old Picard	ung	diaus	trois	katre	chincq	sies	siet	wict	niuf	deis
…Picard	in	deu	trouo	kat	chink	sis	siet	uit	neuf	dich
!Occitan (Provençal)	un	dos	tres	quatre	cinc	sièis	sèt	vuèch	nòu	dètz
…Lengadocian	un	dos	tres	quatre	cinc	sièis	sèt	uèch	nòu	dètz
…Gascon	un	dus	tres	quate	cinc	shèis	sèt	ueit	nau	dètz
…Auvergnat	vun	dou	trei	catre	sin	siei	sé	veu	neu	dié
…Limosin	un	dōū	trei	quātre	cin	siei	se	hue	nō	die
…Franco-Provençal (Vaudois)	on	doû	trâi	quatro	cin	sî	sat	houit	nâo	dyî
Rumantsch Grischun	in	dus	trais	quatter	tschintg	sis	set	otg	nov	diesch
…Sursilvan	in	dus	treis	quater	tschun	sis	siat	otg	nov	diesch
…Sutsilvan	egn	dus	tres	quater	tschentg	sis	seat	otg	nov	diesch
…Vallader	ün	duos	trais	quatter	tschinch	ses	set	ot	nuov	desch
…Surmiran	egn	dus	treis	quatter	tschintg	seis	set	otg	nov	diesch
Friulian	ũŋ	doy	tre	kwàtri	čiŋk	sîs	syet	vot	nûf	dîs
Ladin	un	doi	trëi	cater	cinc	síes	set	òt	nuéf	díesc
+Dalmatian	join	doi	tra	kwatro	chenk	si	sapto	guapto	nu	dik
!Italian	uno	due	tre	quattro	cinque	sei	sette	otto	nove	dieci
…Piedmontese	ün	dü	trè	quatr	sinc	sés	sèt	öt	nöu	dés
…Milanese	vun	duu	trii	quatter	cinqu	sés	sètt	vòtt	noeuv	dés
…Genovese (Ligurian)	un	doì	trei	quattro	çinque	sei	sette	euttu	neuve	dexe
…Venetian	on	do	tri	cuatro	sinque	sié	sete	oto	nove	diese
…Parmesan	vɔn	du	trì	cuatar	sinc	sɛ:s	sɛt	ɔt	nɔ:v	dɛ:z
…Corsican	unu	dui	trè	quattru	cinque	sei	sette	ottu	nove	dece
…Umbrian	unu	dui	tre	quattru	cénque	séi	sétte	òtto	nòe	dèsce
…Neapolitan	unë	rujë	tréië	quattë	cinghë	sèië	sèttë	òttë	nòvë	riécë
…Sicilian	unu	dui	ṭṛi	quaṭṭru	cincu	sie	setti	òttu	novi	dèci
!Romanian	unu	doi	trei	patru	cinci	şase	şapte	opt	nouă 	zece
Arumanian	unu	doĭ	treĭ	patru	ţinţi	şase	şapte	optu	no̯au̯a 	àţe
Meglenite	unu	doi	trei	patru	ţinţi	şasi	şapti	uopt	nou	zeţi
Istriot	ur	doi	trei	påtru	ţinţ	şåse	şåpte	opt	devet	deset
!Sardinian	unu	duos	tres	báttor	chimbe	ses	sette	otto	nove	deghe

**Celtic
+Proto-Celtic	oinos	dvai	treis	qetveres	qenqe	svex	septn	octô	nevn	decn
Gaulish	*ônos	*duô	treis	petor	*pempe	suex	sextan	*oxtû	*navan	decam
*3Brythonic (P-Celtic)
+Proto-Brythonic	oino	dau	tri	petuar	pempe	hweh	seht	oht	nau	dek
Welsh	un	dau	tri	pedwar	pump	chwech	saith	wyth	naw	deg
Breton	unan	daou	tri	pewar	pemp	c’hwec’h	seizh	eizh	nav	dek
…Vannetais	unan	deu	tri	pear	pemp	huéh	seih	eih	naù	dek
+Unified Cornish	un	deu	try	peswar	pymp	whegh	seyth	eath	naw	dek
…Common, Std Written	onan	dew	tri	peswar	pymp	hwegh	seyth	eth	naw	deg
…Modern	on	deaw	try	pager	pemp	whee	sith	eath	nawe	deeg
Devonian	un	deu	tri	peduar	pemp	hueh	seith	eith	nau	dek
*3Goidelic (Q-Celtic)
+Proto-Goidelic	oino	daβu	triβ	keùur	kweβik	swe	sehtn	oht	nowin	dehn
+Old Irish	óen	da	tri	ceth(a)ir	cóic	se	secht	ocht	noi	deich
Irish	aon	dó	trí	ceathair	cúig	sé	seacht	ocht	naoi	deich
Scots Gaelic	aon	dà	trì	ceithir	cóig	sia	seachd	ochd	naoi	deich
Manx	nane	jees	tree	kiore	queig	shey	shiaght	hoght	nuy	jeih

**Hellenic
+Mycenean Greek	e-me (*hemei)	du-wo (*dwo)	ti-rɨ(*tri-)	qe-to-ro (*quetro-)		we- (*wex-)			e-ne-wo (*ennewo-)
+Classical Greek	heīs	dúō	treīs	téttares	pénte	héx	heptá	oktṓ 	ennéa	déka
!Greek	éna	ðío	tría	téssera	pénde	éksi	eftá	oχtó	ennéa	ðéka
…written	ένα	δύο	τρία	τέσσερα	πέντε	έξι	εφτά	οχτώ	εννέα	δέκα
…Cypriot	énas	θkió	dris	désseris	bénde	éksi	eftá	oχtó	eniá	ðéga
Tsakonian	éna	ðíu	čía	tésera	pénde	ékse	eftá	oxtó	enía	ðéka

**Tocharian
+Tocharian A	sas	wu	tre	śtwar	päñ	ṣäk	ṣpät	okät	ñu	śäk
+Tocharian B	ṣe	wi	trai	śtwer	piś	ṣkas	ṣukt	okt	ñu	śak

**Albanian
Albanian
	një	dy	tre	katër	pesë	gjashtë	shtatë	tetë	nëntë	dhjetë
…Gheg (Qosaj) 	ńâ	dy	tre	katër	pês	ɣ́ašt	štat	tet	nân	ðet
…Tosk (Mandritsa)	ni	ǵu	tri	kátrë	pésë	ǵáštë	štátë	tétë	në́ntë	zjétë

**Armenian
+Classical Armenian	mi	erk’u	erekh	čorkh	hing	vech	evthn	uth	inn	t’asn
!Armenian	mek	yerku	yerekh	čořs	hing	vec	yoth	uth	inn	tas

**Baltic
*3West
+Old Prussian	aīns	dwāi	trijan	keturjāi	pēnkjāi	*usjai	*septīnjai	*astōnjai	*newīnjai	desīmtan
*3East
!Lithuanian	víenas	dù	trỹs	keturì	penkì	šešì	septynì	aštuonì	devynì	dēšimt
!Latvian	viêns	divi	trî̀s	četri	pìeci	seši	septiṇi	astôṇi	deviṇi	desmit
Latgalian	vīns	divi	trejs	četri	pīci	seši	septeni	ostoni	deveni	desmit

**Slavic
*3East
!Russian	odín	dva	tri	četÿre	pyat’	šest’	sem’	vósem’	dévyat’	désyat’
…written	один	два	три	четыре	пять	шесть	семь	восемь	девять	десять
!Belarussian	adzín	dva	try	čatÿry	piać	šesć	sem	vósem	dzéviać	dzésiać
…written	адзін	два	три	чатыры	пяць	шэсць	сем	восем	дзевяць	дзесяць
!Ukrainian	odÿn	dva	tri	čotÿry	pyat’	šist’	sim	vísim	devyat’	desyat’
…written	один	два	три	чотири	п'ять	шість 	сім	вісім	дев'ять	десять
*3West
!Polish	jeden	dwa	trzy	cztery	pięć	sześć	siedem	osiem	dziewięć	dziesięć
Kashubian	jeden	dva	třë	štërë	pjińc	šesc	sétmë	wœsmë	dzevjińc	dzesińc
+Polabian	janü	dåvo	tåri	citěr	pąt	sist	siděm	visěm	divąt	disąt
!Czech	jeden	dva	tři	čtyři	pět	šest	sedm	osm	devět	deset
!Slovak	jeden	dva	tri	štyri	pät’	šest’	sedem	osem	devät’	desat’
…West	jeden	dva	try	štyry	pet	šest	sedem	ossem	devat	desat
…East	jeden	dva	tri	štyri	pejc	šesc	šedzem	osem	dzevec	dzešec
Upper Sorbian	jedyn	dwaj	tři	štyri	pjeć	šěsć	sydom	wosom	dźewjeć	dźesać
Lower Sorbian	jaden	dwa	tśo	styrjo	pěś	sěsć	sedym	wosym	źewjeś	źaseś
*3South
+Old Church Slavonic	jedinŭ	dĭva	trĭje	četyre	pętĭ	šestĭ	sedmĭ	osmĭ	devętĭ	desętĭ
!Bulgarian	edín	dva	tri	čétiri	pet	šest	sédem	ósem	dévet	déset
…written	един	два	три	четири	пет	шест	седем	осем	девет	десет
…Pomak	jedín	dve	tri	tšétri	beš	altí	jedí	sekís	dokúz	on, désit
!Macedonian	eden	dva	tri	četiri	pet	šest	sedum	osum	devet	deset
!Serbo-Croat	jèdan	dvâ	trî	čètiri	pêt	šêst	sëdam	ösam	dëvēt	dësēt
!Slovene	ena	dva	tri	štiri	pet	šest	sedem	osem	devet	deset

**Anatolian
+Hittite	*ānt-	dā-	tri-	meiu-			šipta-
+Lydian	un
+Luwian	*a-	duwa-	*tarri-	*mawi-	*paⁿku			*haktau	*nu-
+Lycian	sñta	tuwa	tri(ja)	teteri				aitãta	ñuñtãta

**Indo-Iranian
+Proto-Indo-Iranian	*aiwas	*dva:	*trayas	*k’atwa:ras	*pank’a	*(k)swacsh	*sapta	*ashta:	*nawa	*daca
*3Iranian
*4Eastern
Ossetian  (Iron)	iu	dɪuuæ	ærtæ	tsɪppar	fondz	æxsæz	avd	ast	farast	dæs
…Digor	ieu	duuæ	ærtæ	cuppar	fondz	æxsæz	avd	ast	farast	dæs
Scythian+	ari
+Avestan	aēuua-	duua	θrāiiō	čaθβārō	panča	xšuuaš	hapta	ašta	nauua	dasa
+Khwarezmian	’yw	dhw	shy	cf’r	pnc	’x	’bhd	’sht	sh’dh	dhs
Sogdian	’yw		ðry	čtf’r	panč	wɣwšw	’βt	’št	nw’
Yaghnobi	ī	du	siráu	tafṓr	panč	uxš	avd	ašt	naw	das
Bactrian	iōgo			sofaro
Saka	śśau	duva	drai	tcahora	paṃjsa	kṣäta’	hauda	haṣţa	nau	dasau
!Pashto	yaw	dwa	dre	tsalór	pindzə́	špag	owə́	atə́	nə	ləs
Wakhi	ī	bu	tru	cɯbɯr	pānzj	šād	ɯb	at	nāw	ðas
Munji	yu	lu	šerai	chfūr	pānj	āχše	avde	aškie	nau	dah
Yidgha	yu	loh	šuroi	chšīr	panj	uχšo	avdo	ašcho	nov	los
Ishkashmi	uk	dį	rų	cįfųr	pųndz	χųl	uvd	ot	naw	da
Sanglechi	vak	dōu	trāi	safōr	panz		haft	hāṭ		das
Shughn	yīw	ðu	aráy	cavṓr	pīndz	χōɣ	wūvd	waxt	nōw	ðīs
…Rushani	yīw	ðaw	aráy	cavų́r	pīndz	χų́w	wūvd	waxt	nōw	ðes
Yazgulami	wų	ðow	cųy	čer	penj	xu	uvd	uxt	nu	ðųs
Sarikoli (Tashkorghani)	iw	ðew	aróy	cavúr	pindz	χel	üvd	woxt	new	ðes
Parachi	žu	di	ši	čōr	pōnc	xi	hōt	’ošt	nō	dōs
Ormuri	sō	dyō	ṣ̌ʳē	ʦār	pēnʣ	ṣ̌ªh	hō	hānšt	nah	das
*4Western
*5Northwest
+Parthian	’yw	dw		cf’r	pnj	šwh	hft
Yazdi	ya	du	sey	čuhr	pänj	šaš	haf	haš
Nayini	yak			čāor	penj					de
Natanzi	yæk	do	se	čahar	pänj	šæš	haft	hašt	noh	d’e
Khunsari	yäg	dò˘ 	se	čār	pēš	šäš	häft	häšt	nō̯ᵘ	dē̯ⁱ
Gazi	yeg	dü	se	čār	bānǧ 	šöš	häf	häš	nō̆ᵘ	dē
Sivandi	yä	do	se	čār	pänǧ	šuš	häf	häš	nu	da
Vafsi	yey	do	se	caar	pezh	shish	haf	hash	no	dah
Semnani	i	do	hejrá	čār	panj	šaš	haf	haš	na	das
Sangisari	yækǽ 	dºo̤	šæ	čår	panj	šaš	haft	hašt	na	das
Gilaki	yək	du	se	chår	pənj	shish	haf	hash	noh	da
Mazanderani	yak	de	se	čār	panj	šeš	haft	hašt	ne	da
Talysh	i	dʊ	se	čo	penj	šaš	håft	hašt	nav	då
Harzani	i	de	here	čö	pinč	šoš				doh
Zaza (Dimli)	žew	di	hīrē	čihạār	pānž	šeš	ḥewt	ḥešt	new	des
Gorani	yak	d’ue	y’are	ču’ār	panj	šɪš	ẖawt	hašt	no	da
!Baluchi	yək	do	səh	car	pənj	šəš	həpt	həšt	nw	dəh
…Turkmenistan	yak	du	say	čār	panč	šaš	apt	ašt	nō	da
…E Hill	yak	do	sai	chiár	phanch	shash	hapt	hasht	nuh	dah
…Rakhshani (Western)	yəkk	dw	səy	čar	pənč	šəšš	(h)əpt	(h)əšt	nw	də
!Kermanji (S) Kurdish	yak	dū	sē	čwār	pēnj	šaš	hawt	hašt	nō	da
!Zaza (N) Kurdish	ēk	dô	sē	čār	pēnj	šaš	haft	hašt	na	da
…Bajalani	ikkē	dūwa	sa	čwār	panj	šiš	hāft	hašt	nū	da
Kermanshahi	yäkî´ 	dû́an	sî́an	čuâr	pänč	šäš	häft	häšt	nöˆ	dḗ
*5Southwest
+Old Persian	aiva			 	*panča	 	 	*ašta	*nava	*daθa
+Pahlavi	ēvak	dō	sī	chahār	panch	šaš	haft	hašt	nuh	dah
!Farsi	yek	do	se	čahār	panj	šeš	haft	hašt	noh	dah
…ɪsfahani	ye(k)	do	se	tsâr	payn	šiš	haf	haš	nō	da
!Tajik	yak	du	se	čor	panj	šaš	ħaft	ħašt	nūħ	daħ
Tati	yæ	dÿ	sæ	čar	panj	šæš	hæft	hæšt	nÿh	dæh
…Chali	i	dö	sö	cuār	panj	šeš	haft	hašt	nö	dā
Fars	yek	do	se	čår	pänj	šišt	häft	häst	nu	daśa
Lari	yak	do	se	cār	panj	šiš	’aft	’ašt	no	da
Luri	ya	du	se	čār	panč	šiš	haf	haš	nuh	dah
Kumzari	yek	doh	soh	čār	panj	šiš	haf’ta	haš’ta	na’hata	da’hata

*4Nuristani
Ashkun	ač	dò. 	trä	catā	pò. nc	ß.ù˘ 	sūt	ōṧṭ	nò. 	dus
Wasi-weri (Prasuni)	i pǖn	lǖ	cšī	čipū	wuču	wūṧ	sëtë	āstë	nṹ	lɛzë
Kati	ev	d’u	tre	štəvo	puč	ṧu	sut	uṧt	nu	duc
Kamviri	’ev	d’ü	tr’e	št’o	p’uc	S’u	s’ut	’uST	n’u	d’uç
Kalasha-ala (Waigali)	ew	dǖ	trē	čatā	pṹ	ṧū	sōt	ōṧṭ	nṹ	dōš

*3Indic
+Sanskrit	éka	dvá	trí	catúr	páñca	ṣaṣ	saptá	aṣṭá	náva	dáśa
+Prakrit	ekkō	dō	taō	chattāri	pañcha	ch‘a	satta	aṭṭa	ṇava	dasa
+Ardhamagadhi	ege	do	tao	cattaro	paṃca	cha	satta	aṭṭha	nava	dasa
+Pali	eka	dvi	ti	catu	pañca	cha	satta	aṭṭha	nava	dasa

*4Romany (Gypsy)
…Spanish	yes	duis	trin	sistar	parchen	jol	estér	ostor	nébel	esden
…Welsh	yek’	dūī	trin	štɔ̄r	panš	šov	trin t’ā štɔ̄r	dūvarī štɔ̄r	štɔ̄r t’ā panš	i deš
…Kalderash	yek(h)	duy	trin	štar	panz’	šov	yeftá	oxtó	in’yá	deš
…Syrian	ēkă	dī	tărăn	štār	panj	šās	ḥōṭ	ḥaišṭ	nā	dās
…Armenian	jäku	dūi	terĭ´ n	išdṓr	benč	šeš	haft	hāšt	nu	dě
…Iranian	yek	duy	terín	ɪštār	pānj	šov	efdā́	óxto	enná	deš

*4Sinhalese-Maldivian
!Sinhalese	eka	deka	tuna	hatara	paha	haya	hata	aṭa	namaya	dahaya
Vedda	ekamay	dekamay	tunamay	hataramay	pahamay	[5] tava [1]	[5] [2]	[5] [3]	[5] [4]	[5] tava [5]
Maldivian	eke	de	tine	hatare	fahe	haie	hate	ashe	nue	diha

*4Northern India
*5Dardic
!Kashmiri	akh	zɨ	tr’ɨ	cōr	pānc	šah	sat	ə̄ṭh	naw	da
Shina	ěk	du	č̣e	čar	poĩ	ṧa	săt	ẵṧ	naũ	daï
…Brokskat	ēk	du	tra	čhor	puñṣ	ṣa	sāt	āṣt	nu	dāš
Phalura	āk	dū	trō	čūr	pānž	ṧoʰ	sāt	āṧṭ	nṹ	dāš
Bashkarik	ak	dū	ṭhā	čōr	panj	šō	sat	aṭh	num	daš
Tirahi	ek	dō	tre	cawōr	panc	xo	sat	axt	nab	dah
Torwali	ek	du	ča	čau	pan	šō	sat	aṭ	nōm	daš
Wotapuri	yek	dū	ṭā	cawūr	panž	šō	sat	aṭ	nau	daš
Maiya (Kohistani)	ak	dū	ṭhā	saur	pānz	šōh	sāt	āṭh	naũ	daš
Kalasha	ek	du	tre	čau	pọñ	ṧo	sat	aṧṭ	nõ	daš
Khowar	i	ju	troy	chhor	ponj	chhoy	sot	osht	nyuf	josh
Dameli	ek	dū	trâ	čōr	pẫč	ṧo	sat	aṧt	nȭ	daš
Gawarbati	yɔk	dū	λe	cūr	pōnc	ṧuō	sət	ōṣṭ	nṹ	dɔš
Pashai	ī	dō	trä	čār	panja	č̣ha	sāta	āṧṭa	nāw	dāy
Shumashti	yäk	dū	λy	cöŭur	pōn	ṣ̌ọo	sa	ăṧṭ	nū	däs
Nangalami	yak	dū	ṣlē	čuor	paṇ	ṣō	sat	ȭṣṭ	nṹ	das
Dumaki	ek	dui	c̣ai	čouur	poi	ṧa	sot	oṧt	nau	dai
*5Western
!Marathi	ek	don	tīn	čar	pac	səha	sat	aṭh	nəu	dəha
!Konkani	êk	dôn	tin	char	panch	sô	sat	atth	nov	dha
!Sindhi	hiku	bba	ṭī	cāre	pañja	cha	sata	aṭha	nava	ḍàha
…Khatri	hakro	bo	trê	chár	panj	cho	sat	ath	nu	dô
Lahnda	hikk	dōē	trä	chār	pañ	ch‘ē	satt	aṭṭ‘	nå̃	ḍāh
*5Central
!Hindi/ Urdu	ek	do	tīn	cār	pã̄c	chai (che)	sāt	āṭh	nau	das
…written	एक	दो	तीन	चार	पाँच	छः / छह	सात	आठ	नौ	दस
Parya	yek	do	tin	čar	panj	čhe	sat	aṭ	nu	das
!Punjabi	yk	do	tyn	car	pəñj	che	sət	əṭ	nəwŋ	dəs
Siraiki	hik	du	trɛ	cār	pañj	chi	sat	aṭh	naõ	dah
!Gujarati	ek	be	traṇ	cār	pã̄̄c	cha	sāt	āṭh	nav	das
!Rajasthani (Marwari)	ēk	dōy	tīn	chyār	pã̄ch	ch‘aw	sāt	āṭ‘	naw	das
Banjari (Lamani)	ek	di	tin	caar	paanc	cho	saat	aaT	naw	das
!Malvi	ēk	dō	tīn	chār	pã̄ch	ch‘ē	sāt	āṭ‘	naw	das
!Bhili	ēk	bē	tēṇ	syār	pã̄s	sō	χāt	āṭ‘	naw	daχ
Dogri	ik	dō	trai	chār	pañj	ch‘ē	sat	aṭ‘	nau	das
!Kumauni	ēk	dwī	tīn	chār	pã̄ch	ch‘ai	sāt	āṭ‘	nau	das
!Garhwali	ēk	dwī	tīn	chār	pã̄ch	ch‘aī	sāt	āṭ‘	nau	das
W Pahari	ēk	dui	cɔ̄n	tsār	pāndz	tshɔ̄	sāṭ	āṭ:h	nɔ̄	dɔ̄š
Khandeshi	ēk	dōn	tīn	chār	pāch	ch‘a	sāt	āṭ‘	naü	das
East Central
!Nepali	ek	dui	tin	chār	pānch	cha	sāt	āṭ	nau	das
!Maithili	ek	dū	tīn	chāri	pã̄ch	ch‘a:	sāt	āṭ’	náu	dash
!Magahi	ek	dū	tīn	cār	pāñc	chau	sat	āṭh	nau	das
!Bhojpuri	ēk	dui	tīn	cāri	pã̄c	cʰæ	sāt	āṭh	nao	das
!Awadhi (Kosali)	ēk	dui	tīnị	cārị	pã̄c	chā	sāt	āṭh	nʌu	dʌs
!Chattisgarhi	ēk	dui	tīn	chār	pã̄ch	ch‘ē	sāt	āṭ‘	nō	das
*5Eastern
!Oriya	ek	du’i	tini	chaari	paanjch	cha’a	saat	aaṭh	na’a	dash
!Bengali	æk	dui	tin	car	pãc	chɔy	sat	aṭ	nɔy	dɔš
!Assamese	ɛk	dui	tini	sari	pãs	səi	xat	ath	nə	dəh
Mayang	ā	dū	tin	sāri	pāz	soy	hād	āt	nau	dos

#drav
*Dravidian
+Proto-Dravidian	*oru	*iru	*muC	*nāl	*cayN	*caṟu	*eṛu	*eṭṭu	*tol. 	*pat(tu)
**Northwest
Brahui	asiṭ 	irāṭ	musiṭ	čār	panč	šaš	haft	hašt	nō	dah
*3Northeast
!Kurukh	oṇṭā	eṃṛ	mūnd	nākh	pancē	soyyē	sattē	aṭṭhē	naiṃyē	dassē
Malto	ort	irw	tīne	cāre	pāce	sōye	sāte	āṭe	noye	dāse
*3Central
Kolami	okkod	īral	muyal	nallav	seyyav	saa / ār	sạt	ạt	nov	daa
Naiki (SE Kolami) 	okko	iroṭel	muggur	nalgur
Parji (Duruwa)	ōkurī	irul	mūir	nilir	sēvir	sējēn
Gadaba	okur	iruvul	muvur	naluvur	aydu-gur	āru-gur				padi-mandi
!Telugu	okaṭi	reṇḍu	mūḍu	nālugu	aydu	āru	ēḍu	enimidi	tommidi	padi
…written	ఒకటి 	రెండు 	మూడు 	నాలుగు ‎	ఐదు ‎	ఆరు ‎ఏడు ‎ఎనిమిది ‎తొమ్మిది పది
!Gondi	undī	rend	mūnd	nālūng	siyāng	sārūng	ēṛūng	armur	anma	putth
Koya	orro	reṇḍu	mūṇḍu	nālu	āyḍu	āru	ēḍu	ennimidi	tommidi	padi
Konda	unri	ruṇì	mūnri	nālgi	aydu	āru	ēṛu
Manda	ru	ri		lȧlur	seyyur
Pengo	ro	ri	tin	car	pãc	co	saṭ	at	nov	das
Kui	ro	ri	muñji	nālgi	siŋgi	sajgi	odgi	āṭu	na	dašu
Kuvi	rōṇì	riṇḍi	tīni	sāri	pāsa	sō	sāta	āṭa	nō	dos
*3South
Tulu	onji	raḍḍ	mūji	nāl	ein	āji	ẹ̄l	eṇma	ormba	patt
Koraga	onji	raḍḍi	muji	nali	ayni	aji	eli			pattu
!Kannada	ondu	eraḍu	mūru	nālku	aydu	āru	ēḷu	eṇṭu	ombattu	hattu
…written	ಒಂದು	ಎರಡು	ಮೂರು	ನಾಲ್ಕು	ಅಯ್ದು	ಆರು	ಏಳು	ಎಂಟು	ಒಂಬತ್ತು	ಹತ್ತು
Badaga	ondu	eraḍu	mu:ru	na:ku	aidu	a:ru	iyyu	eṭṭu	ombattu	attu
Kodagu	ondü	danḍü	mūndü	nātü	anji	ārü	yēļü	yeṭṭü	oyimbadü	pattü
Kurumba	-oṇè	-əḍḍu	-mụru– 	-nạku– 	-əyidu– 	-ạru– 	-ọ̈ļu– 	-öṭṭu– 	-embadu– 	-pattu–
!Toda	wïḍ	ēḍ	mūḍ	nōng	üʐ	ōṛ	öw	öṭ	wïnboθ	pot
!Kota	vodde	yeḍe	mūṇḍe	nāke	anje	āre	yēye	yeṭṭe	vorapāde	patte
!Tamil	oṉṟu	iraṇṭu	mūṉṟu	nāṉku	aintu	āṟu	ēḻu	eṭṭu	oṉpatu	pattu
…written	ஒன்று	இரண்டு	மூன்று	நான்கு	ஐந்து	ஆறு	ஏழு	எட்டு	ஒன்பது	பத்து
